trial,x,y,yaw_deg,open_success,closed_success,recoveries,failure_type
1,0.528,-0.19,-18.0,False,True,0,-
2,0.578,-0.165,-6.2,False,False,3,POSITIONAL_OFFSET
3,0.405,-0.12,12.0,False,True,0,-
4,0.562,-0.197,24.5,True,False,2,NO_OBJECT
5,0.591,-0.065,-32.6,False,False,3,ORIENTATION
6,0.561,0.092,2.9,False,True,1,POSITIONAL_OFFSET
7,0.566,0.047,28.9,False,False,3,POSITIONAL_OFFSET
8,0.446,-0.084,-33.6,True,False,3,ORIENTATION
9,0.527,-0.054,-10.4,False,False,3,POSITIONAL_OFFSET
10,0.53,0.044,-26.3,True,False,1,NO_OBJECT
11,0.598,0.056,4.6,False,False,3,POSITIONAL_OFFSET
12,0.446,-0.187,-14.8,False,False,3,ORIENTATION
13,0.575,-0.074,12.4,False,False,3,NO_OBJECT
14,0.453,-0.101,4.9,False,False,3,ORIENTATION
15,0.48,-0.112,39.8,False,False,3,POSITIONAL_OFFSET
16,0.422,0.051,23.4,False,True,0,-
17,0.599,0.012,37.7,False,False,3,POSITIONAL_OFFSET
18,0.536,0.015,-18.7,False,False,3,POSITIONAL_OFFSET
19,0.491,0.182,30.1,False,False,3,ORIENTATION
20,0.583,0.148,-16.1,False,False,2,NO_OBJECT
21,0.553,0.016,22.3,False,False,3,ORIENTATION
22,0.404,0.172,30.3,False,False,3,ORIENTATION
23,0.576,0.179,-33.1,False,False,3,POSITIONAL_OFFSET
24,0.553,-0.149,-2.0,False,False,3,POSITIONAL_OFFSET
25,0.485,-0.115,3.1,False,False,3,POSITIONAL_OFFSET
26,0.599,0.06,-5.0,False,False,3,POSITIONAL_OFFSET
27,0.468,0.035,-21.6,False,False,3,POSITIONAL_OFFSET
28,0.446,0.162,28.8,False,False,3,ORIENTATION
29,0.443,-0.147,34.8,False,False,3,NO_OBJECT
30,0.561,-0.124,-32.2,True,True,0,-
31,0.546,0.069,38.7,False,False,3,ORIENTATION
32,0.572,-0.101,-24.8,True,False,3,ORIENTATION
33,0.45,0.169,-4.5,False,False,1,NO_OBJECT
34,0.6,0.134,37.5,False,False,3,POSITIONAL_OFFSET
35,0.497,-0.115,-7.9,False,False,3,ORIENTATION
